candidate_type,query_count,Recall@1,Recall@3,Recall@10,MRR,mean_best_overlap,mean_best_tIoU,mean_best_temporal_precision,mean_best_tIoU_duration_ms,mean_top1_tIoU,mean_top1_temporal_precision,mean_top1_duration_ms
semantic_visual_text_w0.25,10,0.4,0.5,0.9,0.5166666666666667,0.7764912280701755,0.6158278718185839,0.810064935064935,49500.0,0.2989804055593529,0.34339826839826837,49000.0
semantic_visual_text_w0.25_transcript_rerank,10,0.4,0.6,0.9,0.5333333333333333,0.7764912280701755,0.6158278718185839,0.810064935064935,49500.0,0.28988949646844386,0.3267316017316017,48500.0
fixed_30s,10,0.3,0.4,0.7,0.40630952380952384,0.6368386876281613,0.603505354294828,0.9666666666666668,30000.0,0.2551720209614946,0.38333333333333336,30000.0
fixed_30s_transcript_rerank,10,0.3,0.5,0.7,0.41781135531135527,0.6368386876281613,0.603505354294828,0.9666666666666668,30000.0,0.2651720209614946,0.4,29000.0
fixed_120s,10,0.6,1.0,1.0,0.7666666666666667,0.9203508771929825,0.4386806239737274,0.4541666666666667,108000.0,0.25510919540229887,0.2791666666666667,96000.0
fixed_120s_transcript_rerank,10,0.5,1.0,1.0,0.7166666666666667,0.9203508771929825,0.4386806239737274,0.4541666666666667,108000.0,0.16368062397372743,0.17916666666666667,96000.0
fused_semantic_fixed120_rrf,10,0.4,0.5,1.0,0.5277777777777778,0.9403508771929825,0.6408278718185839,0.7267316017316017,63000.0,0.2989804055593529,0.34339826839826837,49000.0
fused_semantic_fixed120_rrf_semantic_refined,10,0.4,0.5,1.0,0.5277777777777778,0.9403508771929825,0.6408278718185839,0.7267316017316017,63000.0,0.2989804055593529,0.34339826839826837,49000.0
fused_semantic_fixed120_rrf_transcript_hr_gated,10,0.4,0.5,1.0,0.5277777777777778,0.9403508771929825,0.6408278718185839,0.7267316017316017,63000.0,0.2989804055593529,0.34339826839826837,49000.0
